  n        t          u^n          v^n      u^(n+1)      v^(n+1)
 79   0.7900    -0.021708    -0.018868    -0.021897    -0.015962
 80   0.8000    -0.021897    -0.015962    -0.022056    -0.013190
 81   0.8100    -0.022056    -0.013190    -0.022188    -0.010550
 82   0.8200    -0.022188    -0.010550    -0.022294    -0.008037
 83   0.8300    -0.022294    -0.008037    -0.022374    -0.005647
 84   0.8400    -0.022374    -0.005647    -0.022430    -0.003378
 85   0.8500    -0.022430    -0.003378    -0.022464    -0.001226
 86   0.8600    -0.022464    -0.001226    -0.022477     0.000812
 87   0.8700    -0.022477     0.000812    -0.022468     0.002740
 88   0.8800    -0.022468     0.002740    -0.022441     0.004560
 89   0.8900    -0.022441     0.004560    -0.022395     0.006277
 90   0.9000    -0.022395     0.006277    -0.022333     0.007893
 91   0.9100    -0.022333     0.007893    -0.022254     0.009412
 92   0.9200    -0.022254     0.009412    -0.022160     0.010836
 93   0.9300    -0.022160     0.010836    -0.022051     0.012169
 94   0.9400    -0.022051     0.012169    -0.021930     0.013414
 95   0.9500    -0.021930     0.013414    -0.021795     0.014574
 96   0.9600    -0.021795     0.014574    -0.021650     0.015653
 97   0.9700    -0.021650     0.015653    -0.021493     0.016652
 98   0.9800    -0.021493     0.016652    -0.021327     0.017576
 99   0.9900    -0.021327     0.017576    -0.021151     0.018427
